type,feature,param,file,size
int,width,10,parquet,13382512
int,width,10,orc,14174904
int,width,10,btrblocks,12599228
int,width,100,parquet,13309958
int,width,100,orc,14254702
int,width,100,btrblocks,13062847
int,width,1000,parquet,13375417
int,width,1000,orc,14212567
int,width,1000,btrblocks,13487200
int,width,10000,parquet,13363967
int,width,10000,orc,14336468
int,width,10000,btrblocks,13849633
int,width,100000,parquet,13500096
int,width,100000,orc,14358888
int,width,100000,btrblocks,14289052
int,width,1000000,parquet,13615537
int,width,1000000,orc,14492181
int,width,1000000,btrblocks,14846939
int,width,10000000,parquet,13667981
int,width,10000000,orc,14630383
int,width,10000000,btrblocks,0
int,width,100000000,parquet,13851649
int,width,100000000,orc,14718887
int,width,100000000,btrblocks,0
float,width,100,parquet,78725367
float,width,100,orc,74505109
float,width,100,btrblocks,68528986
float,width,10000,parquet,78725367
float,width,10000,orc,74505109
float,width,10000,btrblocks,68476712
float,width,1000000,parquet,78725367
float,width,1000000,orc,74505109
float,width,1000000,btrblocks,68569056
float,width,100000000,parquet,78725367
float,width,100000000,orc,74505109
float,width,100000000,btrblocks,68365157
string,width,5,parquet,48854506
string,width,5,orc,41205721
string,width,5,btrblocks,58881490
string,width,10,parquet,65846730
string,width,10,orc,58555928
string,width,10,btrblocks,88529633
string,width,25,parquet,114309452
string,width,25,orc,107856152
string,width,25,btrblocks,175992727
string,width,50,parquet,197681317
string,width,50,orc,191352349
string,width,50,btrblocks,329996472
string,width,100,parquet,363289091
string,width,100,orc,358248283
string,width,100,btrblocks,643014684
string,width,250,parquet,3927284971
string,width,250,orc,4108417539
string,width,250,btrblocks,571074405
string,width,500,parquet,7770905147
string,width,500,orc,8433916405
string,width,500,btrblocks,0
